SLNO,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Location,Age,Status
320,3250941,No,2,45,E2,37.36,30.49,-5,No,No,Male,Agency,7,BFSI,Chennai,32,0
323,3257382,Yes,40,60,E1,45,47.5,1.72,No,No,Male,Direct,4,CSMP,Noida,28,0
326,3258076,No,1,30,E1,-68.83,24.68,300,No,No,Male,Agency,3,ERS,Chennai,24,0
332,3263017,Yes,9,30,E2,33.33,16.67,-12.5,No,No,Male,Direct,10,ERS,Chennai,35,0
336,3267878,No,28,60,E1,291.3,165.22,-32.22,No,No,Male,Agency,3,BFSI,Chennai,28,0
339,3272381,Yes,107,30,E1,43.59,41.03,-1.79,No,No,Male,Direct,4,ERS,Bangalore,26,0
344,3284172,Yes,14,30,E1,216.67,195.83,-6.58,No,No,Male,Direct,3,CSMP,Chennai,25,0
350,3290646,No,0,30,E2,100,200,50,No,No,Male,Direct,2,INFRA,Noida,34,0
368,3311520,Yes,49,30,E2,294.74,228.95,-16.67,No,No,Male,Direct,5,AXON,Bangalore,37,0
376,3328640,No,6,60,E2,53.33,53.33,0,No,No,Male,Agency,7,Healthcare,Noida,30,0
386,3351261,No,0,0,E2,33.33,266.67,175,No,No,Male,Direct,8,INFRA,Chennai,34,0
396,3374257,No,61,30,E2,50,0,-33.33,No,No,Male,Direct,2,INFRA,Bangalore,29,0
401,3379707,No,34,30,E1,266.67,166.67,-27.27,No,No,Male,Agency,3,CSMP,Noida,28,0
402,3379843,No,17,0,E1,-12.04,-12.04,0,No,No,Male,Agency,2,INFRA,Chennai,28,0
415,3424549,Yes,77,30,E1,80,78,-1.11,No,No,Female,Direct,3,CSMP,Noida,25,0
418,3428591,Yes,21,90,E2,15.38,15.38,0,Yes,No,Male,Direct,8,ERS,Chennai,30,0
443,3507312,No,4,30,E3,44.44,253.82,144.95,No,No,Male,Direct,8,INFRA,Bangalore,28,0
449,3544532,No,6,0,E1,37.61,44.5,5,Yes,No,Male,Agency,3,ERS,Chennai,27,0
468,3685332,No,4,0,E1,-57.43,-39.19,42.86,No,No,Male,Agency,2,ERS,Bangalore,25,0
475,3699033,No,6,0,E2,25,12.5,-10,No,No,Female,Agency,5,ERS,Bangalore,27,0
491,2110719,No,1,45,E2,52.62,43.9,-5.71,No,No,Male,Direct,6,BFSI,Bangalore,31,0
494,2111978,Yes,108,60,E2,25,15.38,-7.69,No,No,Male,Agency,6,BFSI,Bangalore,33,0
513,2115986,No,6,45,E1,69.77,69.77,0,Yes,No,Male,Employee Referral,3,ETS,Bangalore,26,0
532,2118193,Yes,1,0,E2,30.52,30.52,0,No,No,Male,Employee Referral,3,INFRA,Noida,26,0
548,2120133,No,32,45,E3,32.12,32.12,0,No,No,Male,Direct,6,INFRA,Noida,27,0
556,2120920,Yes,6,45,E2,26.76,26.76,0,No,No,Male,Direct,12,INFRA,Noida,30,0
566,2123227,No,210,30,E2,79.17,45.83,-18.6,No,No,Male,Direct,5,INFRA,Chennai,30,0
584,2126878,Yes,78,30,E2,-4.26,2.13,6.67,No,No,Male,Direct,6,EAS,Hyderabad,29,0
596,2129464,Yes,9,30,E1,46.51,46.51,0,No,No,Male,Direct,2,Healthcare,Chennai,30,0
600,2130730,No,59,30,E1,85.71,71.43,-7.69,No,No,Male,Direct,4,BFSI,Bangalore,33,0
602,2130839,No,1,30,E2,44.93,44.93,0,No,No,Male,Direct,6,INFRA,Noida,28,0
603,2130922,Yes,53,60,E1,50,50,0,No,No,Female,Direct,6,ETS,Chennai,26,0
606,2131535,No,1,45,E2,34.02,85.57,38.46,No,No,Male,Direct,0,INFRA,Noida,40,0
617,2134039,Yes,7,30,E1,2.04,42.86,40,No,No,Male,Direct,2,INFRA,Noida,33,0
618,2134381,No,0,0,E2,42.86,19.85,-16.11,Yes,No,Male,Employee Referral,5,INFRA,Chennai,31,0
629,2136958,No,17,75,E2,19.4,11.94,-6.25,No,No,Male,Direct,7,EAS,Chennai,34,0
639,2140793,Yes,2,30,E1,23.08,15.38,-6.25,No,No,Male,Direct,5,CSMP,Noida,30,0
662,2147859,No,4,45,E1,35.87,35.87,0,No,No,Female,Direct,6,ERS,Bangalore,31,0
701,2152769,Yes,5,30,E1,31.82,9.09,-17.24,No,No,Male,Employee Referral,1,INFRA,Noida,23,0
719,2155289,No,19,60,E2,32.4,32.4,0,No,No,Male,Direct,6,INFRA,Noida,30,0
730,2156459,Yes,23,120,E1,46.34,26.02,-13.89,No,No,Male,Direct,4,ERS,Chennai,26,0
738,2157132,Yes,60,120,E2,29.41,25.88,-2.73,No,No,Male,Direct,6,INFRA,Chennai,34,0
746,2159450,Yes,48,90,E1,42.86,54.76,8.33,No,No,Male,Agency,4,CSMP,Noida,28,0
752,2160046,Yes,37,60,E2,47.06,37.25,-6.67,No,No,Male,Direct,6,INFRA,Noida,30,0
753,2160082,No,7,60,E2,34,30,-2.99,No,No,Male,Direct,4,INFRA,Noida,28,0
761,2160605,No,15,30,E3,8.33,8.33,0,No,No,Male,Employee Referral,8,INFRA,Noida,32,0
765,2161467,Yes,1,60,E1,20,-12,-26.67,No,No,Female,Direct,4,ERS,Chennai,26,0
789,2164811,Yes,111,30,E1,16.28,16.28,0,No,No,Female,Direct,3,BFSI,Bangalore,29,0
792,2165190,No,5,0,E2,33.33,40,5,No,No,Male,Direct,7,INFRA,Chennai,29,0
796,2165812,No,51,90,E1,20.31,20.31,0,No,No,Male,Employee Referral,5,BFSI,Bangalore,31,0
797,2166010,Yes,2,75,E3,-0.09,11.24,11.34,No,No,Male,Direct,8,INFRA,Noida,36,0
810,2167973,Yes,4,30,E1,63.27,42.86,-12.5,No,No,Female,Employee Referral,4,AXON,Noida,29,0
817,2169623,No,6,60,E1,47.73,31.82,-10.77,No,No,Male,Agency,3,ERS,Chennai,25,0
831,2170735,No,0,30,E1,35.09,45.61,7.79,No,No,Male,Employee Referral,4,AXON,Noida,31,0
840,2171465,Yes,11,60,E1,76.47,76.47,0,No,No,Male,Direct,3,ERS,Chennai,25,0
847,2172847,No,43,75,E2,12.5,7.5,-4.44,No,No,Male,Employee Referral,6,ERS,Chennai,30,0
848,2172869,Yes,51,120,E2,44.41,44.41,0,No,No,Male,Employee Referral,7,INFRA,Chennai,28,0
886,2177539,No,12,60,E1,32.65,32.65,0,No,No,Male,Employee Referral,3,BFSI,Chennai,26,0
906,2179672,No,1,60,E1,50.54,35.48,-10,No,No,Male,Direct,4,CSMP,Gurgaon,30,0
907,2179820,No,1,45,E1,63.27,45.92,-10.63,No,No,Male,Employee Referral,3,BFSI,Bangalore,28,0
918,2180560,No,10,60,E2,59.45,48.06,-7.14,No,No,Male,Direct,9,ERS,Bangalore,35,0
922,2181066,No,0,30,E2,14.29,-2.02,-14.27,No,No,Male,Direct,9,INFRA,Noida,41,0
926,2181439,No,9,30,E1,40.54,40.54,0,No,No,Male,Agency,4,BFSI,Bangalore,32,0
932,2181793,No,0,60,E3,33.35,33.35,0,No,No,Male,Employee Referral,7,INFRA,Noida,32,0
940,2182825,Yes,8,75,E1,30.43,21.74,-6.67,No,No,Male,Direct,3,ERS,Chennai,25,0
959,2184452,Yes,91,120,E2,55.56,33.33,-14.29,No,No,Male,Direct,7,AXON,Noida,29,0
976,2186241,Yes,1,45,E2,32.17,32.17,0,No,No,Male,Direct,3,INFRA,Noida,31,0
982,2186972,No,2,60,E2,50,47.5,-1.67,No,No,Male,Employee Referral,8,INFRA,Noida,31,0
997,2187909,No,2,0,E3,30,100,53.85,No,No,Male,Employee Referral,5,INFRA,Noida,33,0
1003,2188661,No,4,90,E2,39.53,44.19,3.33,No,No,Male,Direct,3,INFRA,Noida,28,0
1005,2189313,No,0,0,E1,50,20,-20,No,No,Male,Employee Referral,1,INFRA,Chennai,23,0
1011,2189775,Yes,13,60,E2,38.55,38.55,0,No,No,Male,Direct,6,ERS,Bangalore,29,0
1013,2189953,No,3,60,E3,-9.09,-7.43,1.82,No,No,Male,Direct,9,ETS,Pune,34,0
1028,2192493,Yes,2,30,E2,57.14,105.71,30.91,No,No,Male,Employee Referral,7,INFRA,Noida,27,0
1034,2192824,Yes,21,45,E2,86.05,62.79,-12.5,No,No,Male,Employee Referral,4,INFRA,Gurgaon,28,0
1038,2193459,Yes,79,90,E2,22.22,13.33,-7.27,No,No,Male,Direct,7,AXON,Kolkata,30,0
1042,2193699,Yes,24,30,E1,30,-7.14,-28.57,No,No,Male,Agency,5,BFSI,Bangalore,46,0
1051,2194465,No,3,75,E3,40,34.72,-3.77,No,No,Male,Direct,8,INFRA,Bangalore,32,0
1069,2195905,No,17,120,E2,6.38,6.38,0,No,No,Male,Direct,7,ERS,Bangalore,34,0
1085,2196744,Yes,1,120,E1,114.29,107.14,-3.33,Yes,No,Male,Direct,3,ERS,Chennai,26,0
1091,2197160,No,7,30,E1,21.43,21.43,0,No,No,Male,Direct,4,AXON,Noida,31,0
1093,2197234,Yes,10,30,E1,33.33,37.78,3.33,No,No,Male,Agency,3,ERS,Noida,28,0
1101,2197741,No,12,30,E1,50,75,16.67,No,No,Female,Direct,1,INFRA,Bangalore,24,0
1104,2198174,Yes,27,90,E1,0,65.71,65.71,No,No,Male,Direct,4,ERS,Chennai,26,0
1106,2198231,Yes,3,60,E1,18.18,-9.09,-23.08,No,No,Female,Direct,5,ERS,Noida,29,0
1109,2198517,No,36,90,E1,2.27,-20.45,-22.22,No,No,Female,Employee Referral,5,BFSI,Chennai,27,0
1117,2199770,No,65,45,E1,100,80,-10,No,No,Male,Direct,2,ERS,Chennai,26,0
1127,2200444,No,5,45,E2,25,25,0,No,No,Male,Direct,4,AXON,Noida,28,0
1143,2201794,No,28,60,E1,36.36,21.21,-11.11,No,No,Male,Employee Referral,4,EAS,Noida,26,0
1146,2201998,No,31,60,E1,57.14,48.57,-5.45,No,No,Male,Direct,3,BFSI,Chennai,28,0
1149,2202337,No,2,30,E1,51.79,25,-17.65,No,No,Male,Direct,4,AXON,Kolkata,28,0
1152,2202409,No,4,30,E2,24.45,28.11,2.94,No,No,Male,Direct,5,AXON,Kolkata,29,0
1163,2205130,Yes,59,30,E2,6.06,32.58,25,No,No,Male,Direct,7,ERS,Hyderabad,35,0
1165,2205314,No,4,60,E1,49.12,36.84,-8.24,No,No,Male,Direct,5,AXON,Kolkata,32,0
1166,2205396,Yes,5,30,E1,31.58,18.42,-10,Yes,No,Male,Employee Referral,3,ERS,Chennai,27,0
1179,2206399,Yes,86,120,E3,8.11,22.97,13.75,No,No,Male,Direct,14,ERS,Bangalore,38,0
1185,2206671,No,68,120,E2,60,76,10,Yes,No,Male,Employee Referral,8,AXON,Kolkata,31,0
1197,2207654,No,5,0,E1,48.65,55.41,4.55,No,No,Male,Direct,3,ERS,Chennai,26,0
1200,2207746,No,8,30,E2,-8.67,20,31.39,No,No,Male,Direct,4,INFRA,Chennai,27,0
1209,2207946,No,2,0,E1,32.65,32.65,0,No,No,Female,Direct,4,AXON,Noida,29,0
1216,2208477,No,59,30,E2,37.5,45,5.45,No,No,Male,Direct,3,INFRA,Noida,30,0
1222,2208967,No,25,60,E1,50,21.43,-19.05,No,No,Male,Direct,5,ERS,Chennai,30,0
1226,2209220,No,8,45,E2,9.79,9.79,0,No,No,Male,Direct,12,INFRA,Noida,37,0
1227,2209238,Yes,13,30,E2,30.59,30.59,0,No,No,Male,Employee Referral,4,INFRA,Noida,28,0
1230,2209414,Yes,6,30,E2,33.33,25.56,-5.83,No,No,Male,Direct,5,AXON,Bangalore,33,0
1236,2209977,Yes,93,30,E1,48.84,48.84,0,No,No,Male,Agency,4,ERS,Chennai,28,0
1263,2211859,No,0,60,E1,21.74,0.35,-17.57,No,No,Male,Direct,3,ERS,Chennai,27,0
1266,2212226,Yes,42,60,E1,65.14,33.21,-19.33,No,No,Male,Direct,5,ERS,Bangalore,26,0
1267,2212249,Yes,65,120,E3,35,34.7,-0.22,No,No,Male,Direct,8,INFRA,Chennai,35,0
1270,2212291,No,3,30,E3,28.14,28.14,0,No,No,Male,Direct,6,INFRA,Noida,29,0
1287,2213307,Yes,15,60,E1,50,37,-8.67,No,No,Male,Direct,3,INFRA,Noida,30,0
1298,2213699,No,32,45,E2,75.93,61.11,-8.42,No,No,Male,Direct,4,AXON,Noida,35,0
1311,2214522,No,1,75,E2,40,53.4,9.57,No,No,Male,Employee Referral,1,INFRA,Chennai,27,0
1318,2214746,Yes,61,90,E2,57.3,39.33,-11.43,Yes,No,Male,Direct,8,ERS,Chennai,29,0
1336,2215778,No,88,30,E1,20,-13.6,-28,No,No,Male,Direct,1,INFRA,Noida,24,0
1341,2216175,No,0,60,E2,33.93,25,-6.67,No,No,Male,Agency,7,INFRA,Noida,29,0
1343,2216477,Yes,23,60,E1,49.12,26.32,-15.29,No,No,Male,Agency,4,CSMP,Hyderabad,26,0
1348,2216668,Yes,19,45,E1,87.92,74.5,-7.14,No,No,Male,Direct,3,ERS,Bangalore,28,0
1351,2217096,Yes,12,30,E1,62.5,35,-16.92,No,No,Male,Direct,4,ERS,Pune,28,0
1352,2217119,No,2,30,E1,62.5,50,-7.69,No,No,Male,Employee Referral,3,Healthcare,Noida,27,0
1356,2217251,Yes,31,75,E1,33.33,52.22,14.17,No,No,Male,Direct,4,ERS,Noida,26,0
1357,2217261,No,2,60,E2,2.71,-22.97,-25,No,No,Male,Direct,7,ERS,Noida,35,0
1368,2217898,Yes,4,0,E1,50,8,-28,No,No,Female,Direct,2,INFRA,Noida,24,0
1373,2217977,No,29,0,E1,100,122.22,11.11,No,No,Female,Employee Referral,1,INFRA,Noida,24,0
1381,2218251,No,4,60,E1,25,10.42,-11.67,No,No,Female,Agency,4,ERS,Noida,28,0
1390,2218789,Yes,7,75,E1,42.86,42.86,0,No,No,Female,Employee Referral,3,EAS,Chennai,25,0
1393,2219061,No,3,90,E2,32.35,32.35,0,No,No,Male,Direct,6,BFSI,Bangalore,31,0
1394,2219069,Yes,36,45,E1,15.04,15.04,0,No,No,Male,Direct,4,BFSI,Bangalore,31,0
1400,2219362,No,6,75,E2,27.27,4.55,-17.86,No,No,Male,Employee Referral,12,ERS,Chennai,34,0
1404,2219472,No,6,120,E2,53.85,50.77,-2,No,No,Female,Direct,5,ERS,Bangalore,31,0
1407,2219603,Yes,44,45,E1,25,17.86,-5.71,No,No,Male,Direct,3,INFRA,Noida,25,0
1409,2219686,No,27,30,E1,31.82,-1.82,-25.52,No,No,Male,Agency,1,INFRA,Noida,25,0
1445,2221131,Yes,2,45,E1,50,65,10,No,No,Male,Direct,3,INFRA,Noida,31,0
1446,2221147,No,57,75,E3,26.32,41.81,12.27,No,No,Male,Direct,6,INFRA,Noida,32,0
1466,2221849,Yes,64,75,E2,16.67,8.33,-7.14,No,No,Male,Direct,6,EAS,Chennai,35,0
1473,2222019,Yes,5,30,E1,42.86,30.95,-8.33,No,No,Male,Agency,3,BFSI,Bangalore,27,0
1481,2222513,Yes,34,30,E3,22.22,36.08,11.34,No,No,Male,Direct,8,INFRA,Noida,33,0
1482,2222527,No,126,30,E1,42.86,20,-16,No,No,Female,Employee Referral,5,BFSI,Bangalore,29,0
1494,2222862,Yes,11,30,E1,100,80,-10,No,No,Male,Employee Referral,5,EAS,Chennai,28,0
1498,2223201,Yes,31,30,E1,21.67,15,-5.48,No,No,Male,Direct,3,ERS,Bangalore,31,0
1505,2223526,Yes,117,120,E2,22.22,22.22,0,No,No,Male,Employee Referral,7,ETS,Bangalore,35,0
1515,2223906,No,8,0,E1,31.58,31.58,0,No,No,Male,Direct,4,ETS,Bangalore,27,0
1521,2224129,Yes,87,90,E1,32.35,17.65,-11.11,No,No,Male,Employee Referral,4,ERS,Bangalore,28,0
1527,2224332,No,109,120,E2,42.45,42.45,0,No,No,Male,Direct,8,BFSI,Bangalore,39,0
1596,2225482,No,19,30,E2,18.18,0.91,-14.62,No,No,Male,Employee Referral,11,ERS,Chennai,36,0
1608,2225771,No,20,75,E3,25,78.13,42.5,No,No,Male,Direct,5,INFRA,Noida,31,0
1639,2226605,No,3,0,E1,20,20,0,No,No,Female,Employee Referral,4,INFRA,Chennai,28,0
1651,2227007,No,32,60,E2,37.93,37.93,0,No,No,Female,Direct,7,ERS,Chennai,31,0
1652,2227033,Yes,3,45,E2,51.79,51.79,0,No,No,Female,Direct,5,EAS,Chennai,28,0
1654,2227119,Yes,17,75,E1,33.93,33.93,0,No,No,Male,Direct,4,AXON,Noida,29,0
1670,2228955,Yes,52,120,E1,33.33,-13.33,-35,No,No,Male,Employee Referral,2,ERS,Noida,26,0
1674,2229527,No,35,30,E1,50,20,-20,No,No,Male,Direct,2,INFRA,Noida,25,0
1679,2230421,Yes,12,30,E1,25,18.06,-5.56,No,No,Male,Agency,3,CSMP,Noida,25,0
1680,2230827,Yes,127,90,E2,0.26,-7.59,-7.83,Yes,No,Male,Employee Referral,6,AXON,Noida,32,0
1683,2231493,No,49,30,E1,12.9,-11.29,-21.43,No,No,Male,Employee Referral,4,Healthcare,Noida,28,0
1688,2232835,Yes,65,60,E1,75.16,43.31,-18.18,No,No,Male,Employee Referral,3,BFSI,Bangalore,26,0
1693,2233700,No,59,45,E2,46.15,46.15,0,No,No,Male,Employee Referral,6,INFRA,Noida,33,0
1697,2234459,Yes,26,60,E1,25,25,0,No,No,Male,Employee Referral,4,INFRA,Noida,27,0
1700,2235336,No,5,75,E1,33.33,44.44,8.33,Yes,No,Male,Employee Referral,3,ERS,Noida,26,0
1701,2235809,Yes,81,60,E3,25.93,14.07,-9.41,No,No,Male,Direct,10,BFSI,Bangalore,35,0
1710,2238088,No,5,90,E2,71.43,48.57,-13.33,No,No,Male,Employee Referral,5,INFRA,Noida,30,0
1714,2239150,Yes,7,45,E1,18.18,-18.18,-30.77,No,No,Female,Agency,3,ERS,Noida,28,0
1722,2241021,Yes,47,60,E1,17.82,17.82,0,No,No,Male,Employee Referral,6,CSMP,Noida,33,0
1723,2241124,No,14,90,E1,40.35,36.84,-2.5,No,No,Female,Employee Referral,3,EAS,Noida,25,0
1724,2241289,No,3,60,E2,31.82,31.82,0,No,No,Female,Employee Referral,6,BFSI,Gurgaon,29,0
1729,2241649,No,0,30,E2,42.86,30.95,-8.33,No,No,Male,Employee Referral,5,INFRA,Noida,28,0
1731,2241897,No,2,30,E2,30,-9.09,-30.07,No,No,Male,Direct,3,INFRA,Noida,29,0
1732,2242358,Yes,10,75,E1,33.33,71.11,28.33,No,No,Male,Employee Referral,4,ERS,Noida,32,0
1738,2243975,Yes,6,60,E2,66.67,53.85,-7.69,No,No,Male,Direct,7,ERS,Bangalore,30,0
1739,2244070,Yes,23,60,E2,26.92,23.08,-3.03,No,No,Male,Direct,7,EAS,Noida,31,0
1751,2246688,Yes,10,30,E1,20,20,0,No,No,Male,Agency,1,INFRA,Noida,25,0
1763,2247552,Yes,30,30,E1,35.34,35.34,0,No,No,Male,Direct,5,ETS,Mumbai,28,0
1775,2247845,No,43,60,E1,55.37,27.12,-18.18,No,No,Female,Employee Referral,2,BFSI,Chennai,27,0
1789,2265573,Yes,31,45,E2,27.72,27.72,0,No,No,Male,Employee Referral,10,INFRA,Mumbai,35,0
1803,2280811,Yes,58,90,E2,32.08,15.09,-12.86,No,No,Female,Direct,7,AXON,Bangalore,30,0
1821,2281133,Yes,22,60,E1,50,50,0,No,No,Male,Direct,4,ERS,Chennai,27,0
1824,2281166,Yes,0,75,E1,75.72,53.35,-12.73,No,No,Male,Direct,3,ERS,Bangalore,26,0
1825,2281196,Yes,11,90,E1,39.53,39.53,0,No,No,Female,Direct,4,EAS,Chennai,26,0
1836,2281370,No,27,120,E2,33.73,33.73,0,No,No,Male,Direct,5,INFRA,Noida,30,0
1846,2281506,Yes,28,45,E1,37.04,37.04,0,No,No,Male,Employee Referral,4,ETS,Bangalore,26,0
1901,2281802,Yes,14,45,E3,28.57,28.31,-0.21,No,No,Male,Direct,8,INFRA,Noida,35,0
1980,2282185,No,90,60,E3,28.57,28.31,-0.21,No,No,Male,Direct,7,INFRA,Noida,28,0
1994,2282228,Yes,66,75,E1,33.93,33.93,0,No,No,Female,Direct,4,ETS,Bangalore,29,0
2013,2282307,No,4,75,E3,30,30,0,No,No,Male,Direct,7,INFRA,Noida,34,0
2028,2282409,No,81,30,E1,62.16,41.89,-12.5,No,No,Male,Direct,3,ERS,Chennai,25,0
2034,2282504,Yes,118,120,E2,15.38,30,12.67,No,No,Male,Direct,6,ERS,Noida,35,0
2045,2282604,No,76,90,E3,30.73,30.73,0,No,No,Male,Direct,8,INFRA,Chennai,29,0
2077,2283028,No,15,75,E2,25,12.5,-10,No,No,Male,Direct,8,ERS,Bangalore,32,0
2085,2283111,Yes,43,45,E2,37.5,25,-9.09,No,No,Male,Direct,6,AXON,Bangalore,30,0
2112,2283361,Yes,13,45,E2,38.89,31.94,-5,No,No,Male,Direct,10,EAS,Hyderabad,35,0
2122,2283494,Yes,30,60,E1,15.66,15.66,0,No,No,Male,Direct,3,ETS,Bangalore,27,0
2160,2283853,No,17,30,E2,21.21,21.21,0,Yes,No,Male,Direct,9,ERS,Bangalore,37,0
2169,2283922,No,1,60,E3,39.73,39.73,0,No,No,Male,Direct,8,INFRA,Pune,35,0
2178,2284034,No,4,30,E2,18.52,-3.33,-18.44,No,No,Male,Direct,9,ERS,Chennai,35,0
2195,2284176,No,57,30,E2,33.03,33.03,0,No,No,Male,Employee Referral,8,INFRA,Chennai,34,0
2224,2284407,Yes,9,75,E1,51.11,37.78,-8.82,No,No,Male,Direct,5,ERS,Chennai,27,0
2230,2284420,Yes,0,60,E2,40,45,3.57,No,No,Male,Direct,7,INFRA,Noida,32,0
2234,2284443,No,19,60,E2,23.66,7.53,-13.04,No,No,Male,Direct,8,ERS,Bangalore,31,0
2259,2284620,Yes,49,60,E1,70.85,70.85,0,No,No,Male,Direct,3,ETS,Bangalore,26,0
2264,2284652,Yes,4,75,E2,23.29,23.29,0,No,No,Male,Direct,5,AXON,Bangalore,28,0
2276,2284759,No,114,75,E1,75,75,0,No,No,Male,Agency,4,ERS,Chennai,27,0
2279,2284798,Yes,75,90,E1,14.58,20.83,5.45,No,No,Male,Direct,4,ERS,Chennai,30,0
2284,2284852,No,1,45,E2,94.44,100,2.86,No,No,Male,Direct,4,INFRA,Chennai,25,0
2299,2285233,Yes,97,120,E2,44.44,17.78,-18.46,No,No,Male,Direct,6,AXON,Noida,30,0
